         57220 function calls (56585 primitive calls) in 0.115 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.000    0.000 date.py:52(month_string)
       14    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
       16    0.000    0.000    0.000    0.000 {method 'groups' of 're.Match' objects}
        7    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
        2    0.000    0.000    0.001    0.001 mosff_parser.py:11(format_team_name)
        7    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       42    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       15    0.000    0.000    0.000    0.000 sre_parse.py:169(__setitem__)
        7    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        4    0.000    0.000    0.000    0.000 match.py:164(<listcomp>)
       11    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       15    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
        2    0.000    0.000    0.000    0.000 match.py:146(teams)
        2    0.000    0.000    0.000    0.000 match.py:87(<listcomp>)
        4    0.000    0.000    0.000    0.000 element.py:1389(string)
        2    0.000    0.000    0.001    0.000 team.py:54(team_year)
        1    0.000    0.000    0.000    0.000 match.py:224(tournament_year)
        2    0.000    0.000    0.000    0.000 team.py:42(name_without_year)
       10    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       17    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       14    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        2    0.000    0.000    0.000    0.000 match.py:197(tournament)
       10    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 match.py:219(tournament_is_cup)
        2    0.000    0.000    0.000    0.000 match.py:175(guest_score)
        2    0.000    0.000    0.000    0.000 date.py:94(minute)
        1    0.000    0.000    0.000    0.000 cProfile.py:117(__exit__)
        2    0.000    0.000    0.000    0.000 date.py:89(hour)
        1    0.000    0.000    0.000    0.000 __init__.py:20(rbdata_name)
        2    0.000    0.000    0.000    0.000 team.py:13(__init__)
        1    0.000    0.000    0.000    0.000 match.py:76(guest_team_name)
        1    0.000    0.000    0.000    0.000 match.py:93(guest_team_relative_url)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.000    0.000 match.py:18(_date_pattern)


